Created,Recording URL,Publicly Shared,Already Watched,Favorited,Tags,Notes,Landing Page URL,Exit Page URL,Referrer URL,Action Count,Page Count,Duration (seconds),Rage Clicked,U-Turned,Incoming Feedback,Net Promoter Score®,Hotjar User ID,New User,Country,Device,Browser,Operating System
2020-12-03T09:08:07,https://insights.hotjar.com/r?site=2099447&recording=4487127465,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/login,,22,12,397,False,True,N/A,N/A,b6f4cea5,True,KR,Phone,Samsung,Android
2020-12-03T09:32:11,https://insights.hotjar.com/r?site=2099447&recording=4487235197,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,,1,1,54,False,False,N/A,N/A,bb44f8bb,True,KR,Phone,Safari,Ios
2020-12-03T12:22:36,https://insights.hotjar.com/r?site=2099447&recording=4488053551,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/sign_up_for_classes,https://cafe.naver.com/ca-fe/cafes/25046926/articles/26603?page=1&boardtype=L&referrerAllArticles=true&oldPath=%2FArticleRead.nhn%3Fclubid%3D25046926%26page%3D1%26boardtype%3DL%26articleid%3D26603%26referrerAllArticles%3Dtrue,114,13,2981,False,False,N/A,N/A,c05ba3aa,True,KR,Desktop,Ie,Windows
2020-12-03T13:47:59,https://insights.hotjar.com/r?site=2099447&recording=4488505998,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,,2,2,50,False,False,N/A,N/A,809f04d2,True,KR,Phone,Safari,Ios
2020-12-03T09:40:29,https://insights.hotjar.com/r?site=2099447&recording=4487272174,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/signup,https://m.cafe.naver.com,33,9,127,False,True,N/A,N/A,e3233357,True,KR,Phone,Safari,Ios
2020-12-03T09:54:44,https://insights.hotjar.com/r?site=2099447&recording=4487337471,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/login,https://m.cafe.naver.com/ca-fe/web/cafes/25046926/articles/26603,8,3,406,False,False,N/A,N/A,80c12bfa,True,KR,Phone,Crosswalk,Android
2020-12-03T09:55:52,https://insights.hotjar.com/r?site=2099447&recording=4487342855,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/sign_up_for_classes,https://m.cafe.naver.com/ca-fe/web/cafes/25046926/articles/26603?fromList=true,24,2,137,False,False,N/A,N/A,56829379,True,KR,Phone,Safari,Ios
2020-12-03T10:20:20,https://insights.hotjar.com/r?site=2099447&recording=4487457469,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/,,11,5,120,False,False,N/A,N/A,5810a575,True,KR,Phone,Samsung,Android
2020-12-03T10:21:21,https://insights.hotjar.com/r?site=2099447&recording=4487462368,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/free_trial_form,https://m.cafe.naver.com/ca-fe/web/cafes/25046926/articles/26603,77,6,426,False,False,N/A,N/A,b0069a49,True,KR,Phone,Chrome,Android
2020-12-03T10:24:57,https://insights.hotjar.com/r?site=2099447&recording=4487479187,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://m.cafe.naver.com/ca-fe/web/cafes/25046926/articles/26603?fromList=true,13,6,572,False,False,N/A,N/A,033df6fb,True,KR,Phone,Crosswalk,Android
2020-12-03T10:26:22,https://insights.hotjar.com/r?site=2099447&recording=4487485821,False,True,False,Only available on Hotjar Plus,Only available on Hotjar Plus,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://privatenote.co.kr/?utm_source=naver&utm_medium=social&utm_campaign=cafe_posting&utm_content=lcb_renewalevent_20201203,https://m.cafe.naver.com/ca-fe/web/cafes/25046926/articles/26603?fromList=true,2,1,129,False,False,N/A,N/A,3a5ee4e1,True,KR,Phone,Crosswalk,Android
