"Element CSS selector","Total # of clicks","Visible","% of total"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper","126","Yes","9.57%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper.pc-topbar-main-menu (1)","118","Yes","8.96%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-select>img.max-full.pointer.center","100","Yes","7.59%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper.pc-topbar-main-menu (1)","65","No","4.94%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.m-hide","61","Yes","4.63%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper.pc-topbar-main-menu.subscription","59","Yes","4.48%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide>div.pc-half-m-full>img.center.max-full","58","Yes","4.40%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper.pc-topbar-main-menu.subscription","41","No","3.11%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>a.uik-top-bar-link__wrapper>img.logo-img","29","Yes","2.20%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>a.uik-top-bar-link__wrapper>img.logo-img","26","No","1.97%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main","25","Yes","1.90%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.m-hide (4)","25","Yes","1.90%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.m-hide (1)","25","Yes","1.90%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.m-hide (6)","23","No","1.75%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-select-fixed.view>img.max-full.pointer.center","22","No","1.67%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>div.fit-content-center>div.select-btn-wrapper>div.select-btn-four.third","20","No","1.52%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper","18","No","1.37%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>div.fit-content-center>div.select-btn-wrapper>div.select-btn-four.second","17","No","1.29%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.fit-content-center>div.select-btn-wrapper>div.select-btn-three.second","17","Yes","1.29%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper","16","Yes","1.21%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.m-hide (5)","16","Yes","1.21%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>div.fit-content-center>div.select-btn-wrapper>div.select-btn-four.fourth","15","No","1.14%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.best-review-wrapper.m-hide>div.left-section>div.menu.pointer (2)","15","Yes","1.14%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.m-hide (3)","15","Yes","1.14%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.m-hide (2)","15","Yes","1.14%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.fit-content-center>div.select-btn-wrapper>div.select-btn-three.third","14","Yes","1.06%"
"div#root>div.app>div.popover-container.logout>div.popover-close-btn>img","14","No","1.06%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>img.max-full.center.pointer.m-hide","13","No","0.99%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.best-review-wrapper.m-hide>div.left-section>div.menu.pointer (1)","13","Yes","0.99%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper (1)","11","No","0.84%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.min>img.max-full.center.pointer.m-hide (1)","11","No","0.84%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-select","11","Yes","0.84%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide>img.right.pointer.height-fixed","11","Yes","0.84%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.title (5)","11","Yes","0.84%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide>div.pc-half-m-full>img.center.max-full (1)","10","Yes","0.76%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.min>div.fit-content-center>div.select-btn-wrapper>div.select-btn-three.third","10","No","0.76%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper (2)","10","Yes","0.76%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide","9","Yes","0.68%"
